Code;ForecastDate;ForecastType;ForecastStart;ForecastEnd;PrecipitationProbability;WeatherConditions;PrecipitationType;ExpectedPrecipitationAmount;MinimumTemperature;MaximumTemperature;WindDirection;WindSpeed;PrecipitationAmountDay;Notes;global_id
585668;25.09.2019 05:57;трехчасовой прогноз;25.09.2019 09:00;25.09.2019 12:00;;;без осадков;;8;10;;;;Днем без существенных осадков 0-0,2 мм. Температура 8…10 градусов. Ветер слабый менее 5 м/сек. Ночью без существенных осадков 0-0,2 мм. Температура 2…4 градуса. Ветер слабый менее 5 м/сек.;1011162434
585843;26.09.2019 05:53;трехчасовой прогноз;26.09.2019 09:00;26.09.2019 12:00;;;дождь;;9;11;;;;Днем без существенных осадков 0-0,2 мм. Температура 9…11 градусов. Ветер северо-западный 3-8 м/сек. Ночью без существенных осадков 0-0,2 мм. Температура 4…6 градусов. Ветер переменный 2-7 м/сек.;1011169372
586043;27.09.2019 05:55;трехчасовой прогноз;27.09.2019 09:00;27.09.2019 12:00;;;без осадков;;9;11;;;;Днем без осадков. Температура 9…11 градусов. Ветер северо-западный 2-7 м/сек. Ночью без существенных осадков 0-0,2 мм. Температура 3…5 градусов. Ветер северо-западный 2-7 м/сек.;1011189357
586243;28.09.2019 05:38;трехчасовой прогноз;28.09.2019 09:00;28.09.2019 12:00;;;дождь;;10;12;;;;Днем без осадков. Температура 10…12 градусов. Ветер переменный 2-7 м/сек. Ночью без существенных осадков 0-0,2 мм. Температура 7…9 градусов. Ветер южный 3-8 м/сек.;1011196087
586443;29.09.2019 05:55;трехчасовой прогноз;29.09.2019 09:00;29.09.2019 12:00;;;без осадков;;11;13;;;;Днем местами небольшой кратковременный дождь 0-3 мм. Температура 11…13 градусов. Ветер юго-восточный 5-10 м/сек. Ночью местами небольшой кратковременный дождь 0-1 мм. Температура 8…10 градусов. Ветер юго-западный 3-8 м/сек.;1011434839
586639;30.09.2019 05:42;трехчасовой прогноз;30.09.2019 09:00;30.09.2019 12:00;;;дождь;;12;14;;;;Днем местами кратковременный дождь 0-4 мм. Температура 12…14 градусов. Ветер юго-западный 5-10 м/сек. Ночью временами дождь 1-4 мм. Температура 10…12 градусов. Ветер юго-западный 5-10 м/сек.;1011445481
586838;01.10.2019 05:51;трехчасовой прогноз;01.10.2019 09:00;01.10.2019 12:00;;;дождь;;14;16;;;;Днем временами дождь 1-3 мм. Температура 14…16 градусов. Ветер юго-западный 5-10 м/сек, местами порывы 12-15 м/сек. Ночью без существенных осадков 0-0,2 мм. Температура 7…9 градусов. Ветер юго-западный 5-10 м/сек.;1011469751
587037;02.10.2019 05:33;трехчасовой прогноз;02.10.2019 09:00;02.10.2019 12:00;;;дождь;;13;15;;;;Днем местами небольшой кратковременный дождь 0-2 мм. Температура 13…15 градусов. Ветер юго-западный 5-10 м/сек, местами порывы 12-15 м/сек. Ночью местами небольшой кратковременный дождь 0-2 мм. Температура 10…12 градусов. Ветер юго-западный 3-8 м/сек.;1011632697
587237;03.10.2019 05:26;трехчасовой прогноз;03.10.2019 09:00;03.10.2019 12:00;;;без осадков;;16;18;;;;Днем без осадков. Температура 16…18 градусов. Ветер юго-западный 5-10 м/сек. Ночью местами небольшой дождь 0-2 мм. Температура 10…12 градусов. Ветер юго-западный 5-10 м/сек.;1011664721
587437;04.10.2019 05:37;трехчасовой прогноз;04.10.2019 09:00;04.10.2019 12:00;;;дождь;;10;12;;;;Днем временами дождь 4-7 мм. Температура 10…12 градусов. Ветер западный, северо-западный 5-10 м/сек. Ночью местами небольшой дождь 0-2 мм. Температура 6…8 градусов. Ветер северо-западный 5-10 м/сек.;1011676191
587647;05.10.2019 06:00;трехчасовой прогноз;05.10.2019 09:00;05.10.2019 12:00;;;без осадков;;9;11;;;;Днем без осадков. Температура 9…11 градусов. Ветер северо-западный 5-10 м/сек. Ночью местами небольшой дождь 0-1 мм. Температура 4…6 градуса. Ветер северо-восточный 3-8 м/сек.;1011770252
587847;06.10.2019 06:11;трехчасовой прогноз;06.10.2019 09:00;06.10.2019 12:00;;;дождь;;4;6;;;;Днем временами осадки (мокрый снег, дождь) 3-7 мм, местами до 14 мм. Температура 4…6 градусов. Ветер северо-восточный 5-10 м/сек, местами порывы 12-15 м/сек. Ночью временами осадки (мокрый снег, дождь) 1-3 мм. Температура 3…5 градусов. Ветер северо-восточный 5-10 м/сек, местами порывы 12-15 м/сек.;1011802786
588235;08.10.2019 05:40;трехчасовой прогноз;08.10.2019 09:00;08.10.2019 12:00;;;снег;;4;6;;;;Днем без существенных осадков 0-0,2 мм. Температура 4…6 градусов. Ветер  юго-западный 5-10 м/сек. Ночью без существенных осадков 0-0,2 мм. Температура -1…+1 градус. Ветер западный 3-8 м/сек.;1011834355
